Price,Zip Code,Count,Avg. Inspection Score
$$$$,94133,4,97.6
$$$$,94132,4,76
$$$$,94123,4,98
$$$$,94121,4,100
$$$$,94118,4,94
$$$$,94116,4,96
$$$$,94115,4,91.66666667
$$$$,94111,4,95
$$$$,94110,4,91.54545455
$$$$,94108,4,92.66666667
$$$$,94107,4,89
$$$$,94105,4,94
$$$$,94104,4,90
$$$$,94103,4,94
$$$$,94102,4,94.61538462
$$$,94133,3,91.19354839
$$$,94131,3,95.875
$$$,94129,3,92
$$$,94127,3,100
$$$,94123,3,91.44444444
$$$,94122,3,92.66666667
$$$,94121,3,91.33333333
$$$,94118,3,89.72727273
$$$,94117,3,91.66666667
$$$,94115,3,92.66666667
$$$,94114,3,93
$$$,94112,3,87.5
$$$,94111,3,88.83333333
$$$,94110,3,93.20833333
$$$,94108,3,96.38235294
$$$,94107,3,89.22222222
$$$,94105,3,88.9375
$$$,94104,3,92.28571429
$$$,94103,3,91.65625
$$$,94102,3,94.55357143
$$,94158,2,92.2962963
$$,94134,2,80.23529412
$$,94133,2,90.51351351
$$,94132,2,93.28666667
$$,94131,2,89.12903226
$$,94130,2,89
$$,94127,2,87.77142857
$$,94124,2,90.5945946
$$,94123,2,90.43518519
$$,94122,2,86.8220339
$$,94121,2,86.14285714
$$,94118,2,88.66666667
$$,94117,2,89.77777778
$$,94116,2,87.63157895
$$,94115,2,87.72058824
$$,94114,2,91.17687075
$$,94112,2,85.9
$$,94111,2,89.59047619
$$,94110,2,89.65165165
$$,94109,2,92.52380952
$$,94108,2,89.27184466
$$,94107,2,88.92156863
$$,94105,2,90.07627119
$$,94104,2,91.39495798
$$,94103,2,89.68061674
$$,94102,2,91.03731343
$,94158,1,96
$,94134,1,81.59375
$,94133,1,88.96350365
$,94132,1,94.79333333
$,94131,1,95.16666667
$,94130,1,87
$,94127,1,90.90909091
$,94124,1,86.94117647
$,94123,1,90.60869565
$,94122,1,90.0754717
$,94121,1,89.79245283
$,94118,1,89.48514852
$,94117,1,91.45
$,94116,1,84.41025641
$,94115,1,86.53061225
$,94114,1,93.65625
$,94112,1,85.26851852
$,94111,1,89.74193548
$,94110,1,89.55060729
$,94109,1,90.85
$,94108,1,85.82758621
$,94107,1,87.12244898
$,94105,1,86.53061225
$,94104,1,92.70967742
$,94103,1,89.7
$,94102,1,87.94936709
,94158,0,0
,94134,0,0
,94133,0,0
,94132,0,0
,94131,0,0
,94129,0,0
,94127,0,0
,94124,0,0
,94123,0,0
,94122,0,0
,94121,0,0
,94118,0,0
,94117,0,0
,94116,0,0
,94115,0,0
,94114,0,0
,94112,0,0
,94111,0,0
,94110,0,0
,94109,0,0
,94108,0,0
,94107,0,0
,94105,0,0
,94104,0,0
,94103,0,0
,94102,0,0