Price,Zip Code,Avg. Inspection Score
$$$$,94133,97.6
$$$$,94132,76
$$$$,94123,98
$$$$,94121,100
$$$$,94118,94
$$$$,94116,96
$$$$,94115,91.66666667
$$$$,94111,95
$$$$,94110,91.54545455
$$$$,94108,92.66666667
$$$$,94107,89
$$$$,94105,94
$$$$,94104,90
$$$$,94103,94
$$$$,94102,94.61538462
$$$,94133,91.19354839
$$$,94131,95.875
$$$,94127,100
$$$,94123,91.44444444
$$$,94122,92.66666667
$$$,94121,91.33333333
$$$,94118,89.72727273
$$$,94117,91.66666667
$$$,94115,92.66666667
$$$,94114,93
$$$,94112,87.5
$$$,94111,88.83333333
$$$,94110,93.20833333
$$$,94108,96.38235294
$$$,94107,89.22222222
$$$,94105,88.9375
$$$,94104,92.28571429
$$$,94103,91.65625
$$$,94102,94.55357143
$$,94158,92.2962963
$$,94134,80.23529412
$$,94133,90.51351351
$$,94132,93.28666667
$$,94131,89.12903226
$$,94130,89
$$,94127,87.77142857
$$,94124,90.5945946
$$,94123,90.43518519
$$,94122,86.8220339
$$,94121,86.14285714
$$,94118,88.66666667
$$,94117,89.77777778
$$,94116,87.63157895
$$,94115,87.72058824
$$,94114,91.17687075
$$,94112,85.9
$$,94111,89.59047619
$$,94110,89.65165165
$$,94109,92.52380952
$$,94108,89.27184466
$$,94107,88.92156863
$$,94105,90.07627119
$$,94104,91.39495798
$$,94103,89.68061674
$$,94102,91.03731343
$,94158,96
$,94143,95
$,94134,81.59375
$,94133,88.96350365
$,94132,94.79333333
$,94131,95.16666667
$,94130,87
$,94127,90.90909091
$,94124,86.94117647
$,94123,90.60869565
$,94122,90.0754717
$,94121,89.79245283
$,94118,89.48514852
$,94117,91.45
$,94116,84.41025641
$,94115,86.53061225
$,94114,93.65625
$,94112,85.26851852
$,94111,89.74193548
$,94110,89.55060729
$,94109,90.85
$,94108,85.82758621
$,94107,87.12244898
$,94105,86.53061225
$,94104,92.70967742
$,94103,89.7
$,94102,87.94936709